Date,Daily Close,Daily Returns,% Change ,Volatility ,Annualised Volatility,,
04-07-2025,1.17868,0.000203618,0.020361761,0.080383672,1.276051235,,
06-07-2025,1.17892,-0.001323245,-0.1323245,0.080644123,1.280185773,,
07-07-2025,1.17736,-0.000798396,-0.079839641,0.080907866,1.284372558,,
08-07-2025,1.17642,-0.001292056,-0.129205556,0.081173977,1.288596943,,
09-07-2025,1.1749,-0.000493659,-0.049365903,0.081442957,1.29286686,,
10-07-2025,1.17432,-0.003210369,-0.321036855,0.081714251,1.297173514,,
11-07-2025,1.17055,-0.000709068,-0.070906839,0.081989356,1.301540674,,
13-07-2025,1.16972,-9.40396E-05,-0.00940396,0.082266276,1.305936649,,
14-07-2025,1.16961,-0.000384744,-0.038474363,0.082545697,1.31037232,,
15-07-2025,1.16916,0.00249752,0.249751959,0.082828144,1.314856022,,
16-07-2025,1.17208,-0.007448297,-0.744829704,0.083111603,1.319355803,,
17-07-2025,1.16335,0.002905403,0.29054025,0.083401683,1.323960674,,
18-07-2025,1.16673,-0.002691282,-0.269128247,0.083690791,1.328550119,,
20-07-2025,1.16359,0.006901056,0.690105621,0.083986277,1.333240816,,
21-07-2025,1.17162,0.003653062,0.365306157,0.084277491,1.337863687,,
22-07-2025,1.1759,0.00175185,0.175184965,0.084575186,1.34258945,,
23-07-2025,1.17796,0.000670651,0.067065096,0.084877666,1.347391178,,
24-07-2025,1.17875,-0.002341463,-0.234146341,0.0851842,1.352257257,,
25-07-2025,1.17599,0.000841844,0.084184389,0.085495756,1.357203053,,
27-07-2025,1.17698,-0.001104522,-0.110452174,0.085808944,1.362174752,,
28-07-2025,1.17568,-0.014272591,-1.427259118,0.086126826,1.367220974,,
29-07-2025,1.1589,-0.002019156,-0.20191561,0.086447936,1.372318445,,
30-07-2025,1.15656,-0.009173757,-0.917375666,0.086773523,1.377486969,,
31-07-2025,1.14595,0.011867883,1.186788254,0.087103949,1.382732329,,
01-08-2025,1.15955,-3.44961E-05,-0.003449614,0.087421905,1.387779725,,
03-08-2025,1.15951,-0.000638201,-0.063820062,0.087757599,1.393108702,,
04-08-2025,1.15877,-0.000224376,-0.022437585,0.088097581,1.398505749,,
05-08-2025,1.15851,0.00713848,0.71384796,0.088441278,1.403961766,,
06-08-2025,1.16678,0.002545467,0.254546701,0.088781633,1.409364726,,
07-08-2025,1.16975,-0.002547553,-0.25475529,0.089131201,1.414913953,,
08-08-2025,1.16677,0.000539952,0.053995218,0.089488582,1.420587199,,
10-08-2025,1.1674,9.42265E-05,0.009422649,0.089848345,1.426298252,,
